name,name_en,type,address,address_en,timetable,timetable_en,phone,mon,tue,wed,thu,fri,sat,sun,open_time,close_time
Төв салбар,Central Branch,branch,"Сүхбаатар дүүрэг, Энхтайваны өргөн чөлөө, Чингүнжавын гудамж-30
3 үгт хаяг: /// дугуй.дэвшил.хэлтэй","Chingunjav Street-30, Enkhtaivan Avenue,  Sukhbaatar disctrict
What3Words: /// rejects.astounded.cobras","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-04:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00
Багануур салбар ,Baganuur Branch,branch,"1-р хороо, Нацагдоржийн гудамж-7/1, ХасБанкны байр 
3 үгт хаяг: /// гавар.тугны.амруулах","XacBank building, 1st horoo, Natsagdorj Street-7/1, Baganuur district
What3Words: /// temperance.hyperlinks.inexpensive","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-04:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00
Баянгол салбар ,Bayangol Branch,branch,"Баянгол дүүрэг,13-р хороо, Ард Аюушийн өргөн чөлөөнд байрлах Соло молл худалдааны төв (3,4-р хорооллын автобусны эцсийн буудал)
3 үгт хаяг: /// манайх.ундарга.угсрагч","1st floor, Solo Mall, 13th horoo, Bayangol district
What3Words: /// alerting.comedians.urban","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-04:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00
Сонгинохайрхан салбар ,Songinohairhan Branch,branch,"Сонгинохайрхан дүүрэг, 12-р хороо, 1-р хороолол 1-р үйлчилгээний төв /""Саппоро"" худалдааны төвд/
3 үгт хаяг: /// яргуй.хөрвөөх.хонин","1st floor, Sapporo shopping center, 12th horoo, Songinokhairkhan district
What3Words: /// princely.hazy.toolbar","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-04:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00
Сүхбаатар салбар,Suhbaatar Branch,branch,"Сүхбаатар дүүрэг, 7-р хороо, Эрхүүгийн гудамж, ""Ориент"" төвийн 1-р давхарт /Хөгжим бүжгийн коллежээс 11-р хороолол уруудах замын дагуу, хуучин гэмтлийн эмнэлэгийн хажууд
3 үгт хаяг: /// багтсан.ундаа.унших","1st floor Orient center, 11th horoolol, 7 th horoo, Sukhbaatar district
What3Words: /// resold.truckload.magic","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-04:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00
Нарантуул тооцооны төв,Narantuul Branch,branch,"Баянзүрх дүүрэг, 14-р хороо, Нарантуул ОУХТ, Баялаг Ундраа Худалдааны Төвд
3 үгт хаяг: ///хөгжилтэй.эрдэмтэд.хүрнэ","Baylag Undraa Shopping Center, Narantuul International Commercial Center, 14th khoroo, Bayanzurkh district
What3Words: /// sulked.dusters.continues","Даваа-Бямба: 9:00-17:00
Мягмар, Ням: Амарна","Monday-Saturday: 9:00am-05:00pm
Tuesday, Sunday: Сlosed",1800-1888,1,0,1,1,1,1,0,09:00:00,17:00:00
Дорноговь салбар,Dornogovi Branch,branch,"Сайншанд сум, 2-р баг, Хасбанкны байр /Шуудан үйлчилгээний газрын баруун талд, Данзанравжаагийн музейн урд талд/
3 үгт хаяг: /// зочломтгой.хайлан.олгосон","XacBank building, 2nd bag, Sainshand soum
What3Words: /// denies.undeniably.overland","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-04:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00
Хэнтий салбар,Hentii Branch,branch,"Чингис хот, 3-р баг, Баатруудын гудамж, С-20-р байр, ХасБанкны байр
3 үгт хаяг: /// тусгах.ханз.цугларах","XacBank building, Baatar gudamj, 3rd bag, Chinggis hot
What3Words: /// flies.market.argue","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-04:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00
Дархан салбар ,Darhan Branch,branch,"Дархан сум, 8-р баг, ХасБанкны байр /Микро хороолол/
3 үгт хаяг: /// ажилд.дагах.дөрөө","XacBank building, 8th bag, Darhan soum
What3Words: /// canes.mountainous.whimpered","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-04:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00
Шинэ орчин тооцооны төв,Shine orchin Branch,branch,"Дархан сум, 6-р баг, ""Дархан тээвэр"" ХХК-ийн байранд
3 үгт хаяг: /// нисгэх.сарыг.хүүг"," Building of ""Darkhan teever"" Co.,Ltd, 6th bag, Darkhan soum
What3Words: /// edicts.constitutions.palettes","Даваа - Баасан: 8:30-16:30
Бямба, Ням: Амарна","Monday - Friday: 8:30am-04:30pm
Saturday, Sunday: Сlosed",1800-1888,1,1,1,1,1,0,0,08:30:00,16:30:00
