Title,Link,Date,Content
ХасБанк 2024 оны III улиралд 43.4 тэрбум төгрөгийн татварын дараах цэвэр ашигтай ажиллалаа,https://www.xacbank.mn/article/financial-report-2024q3,2024.10.14,"ХасБанк 2024 оны III улиралд 43.4 тэрбум төгрөгийн татварын дараах цэвэр ашигтай ажиллалааХасБанк 2024 оны III улиралд 43.4 тэрбум төгрөгийн (өмнөх улирлаас +0.4%) татварын дараах цэвэр ашигтай ажиллалаа. Ингэснээр жилийн өссөн дүнгээр татварын дараах цэвэр ашиг 128.7 тэрбум төгрөгт (өмнөх жилийн мөн үеэс +26.7%) хүрч, өөрийн хөрөнгийн өгөөж (annualized ROE) 26.2%,нэгж хувьцаанд ногдох цэвэр ашиг (EPS) 122.3 төгрөгтхүрлээ2024 оны III улирлын санхүүгийн үзүүлэлтээс онцолбол:Зээл ба санхүүгийн түрээсийн багц 3,609 тэрбум төгрөгт хүрч, өмнөх улирлаас 8.6%, оны эхнээс 31.2% өссөн нь III улирлын цэвэр хүүгийн орлогыг өмнөх улирлаас 9.0% өсөхөд нөлөөлсөн байна.Активын чанарын үзүүлэлт тогтвортой сайн хэвээр байгаа бөгөөд нийт зээл болон санхүүгийн түрээсийн багцад эзлэх чанаргүй зээлийг 2.2%-д удирдан ажиллаж байна.Харилцах, хадгаламжийн эх үүсвэр өмнөх улирлаас 0.1%-аар, оны эхнээс 11.3%-аар өсөж, 3,202 тэрбум төгрөгт хүрлээ.2024 оны эхний хагас жилийн цэвэр ашгаас нэгж хувьцаанд 18 төгрөг буюу нийт 18.9 тэрбум төгрөгийн ногдол ашиг хувьцаа эзэмшигчдэд хуваарилсан бөгөөд IPO хийснээс хойш нийт 61.0 тэрбум төгрөгийг ногдол ашиг болгон олгоод байна.Тайлант хугацаанд ХасБанк Банкны тухай хуулиар болон Монголбанкнаас тогтоосон зохистой харьцааны шалгуур үзүүлэлтүүдийг бүрэн хангаж ажиллалаа. Үүнд:Нэгдүгээр зэрэглэлийн өөрийн хөрөнгө болон эрсдэлээр жигнэсэн активын зохистой харьцаа 18.2%(байвал зохих хэмжээ 12.5%). Ийнхүү давуулан биелүүлсэн нөөц өөрийн хөрөнгө нь аливаа болзошгүй эрсдэлийг даахаас гадна ирээдүйд активын тэлэлт хийх, ногдол ашиг тараах боломжийг бий болгодог.Төлбөр түргэн гүйцэтгэх чадварын харьцаа 34.5%(байвал зохих хэмжээ 25.0%) буюу ХасБанк бусдаас татан төвлөрүүлсэн нийт эх үүсвэрийнхээ 34.5% болох 1,682 тэрбум төгрөгийг бэлэн мөнгө болон түргэн борлогдох активт байршуулан удирдаж байна.ХасБанкны 2024 оны III улирлын санхүүгийн байдал болон орлого үр дүнгийн тайлантайЭНДдарж танилцана уу."
ХасБанкны ажилтнууд он дуустал өдөрт 7 цагаар ажиллана,https://www.xacbank.mn/article/7-hours,2024.09.30,"ХасБанкны ажилтнууд он дуустал өдөрт 7 цагаар ажилланаАжилтнуудынхаа ажил амьдралын тэнцвэрт байдлыг хангаж, илүү чөлөөтэй, урам зоригтой ажиллах боломжийг бүрдүүлэх зорилгоор ХасБанк өдрийн ажлын цагийг 1 цагаар богиносгон 7 цаг болгож 9-р сарын туршид туршилтаар хэрэгжүүллээ.Уг зохицуулалтын үр дүнд ажилтнуудын сэтгэл ханамж өндөр байж, ажлын бүтээмжид эергээр нөлөөлж буйг харгалзан ХасБанк ажлын 7 цагийн горимыг 2024 он дуустал үргэлжлүүлэхээр шийдвэрлэлээ.Бяцхан тооцоо хийж үзвэл, өдрийн ажлын цаг 1-ээр богиноссоноор ажилтнууд маань сард 22, жилд 264 цаг буюу ажлын 8 цагаар бодвол нийт 33 өдрийг гэр бүлдээ болон өөрийгөө хөгжүүлж, сурч боловсрох, спортоор хичээллэх зэргээр сонирхдог зүйлдээ нэмж зориулах боломжтой болж байна. Мөн богино цагаар ажилласан ч бүтэн цалингаа авч буй нь Банкнаас ажилтнууддаа төдийгүй тэдний гэр бүлд барьж буй бэлэг юм.Түүнчлэн ХасБанк эрүүл мэндийн бүрэн үзлэг, даатгал, тэтгэвэрийн нэрийн дансны хуримтлал, хувьцаа эзэмшүүлэх, ажлын цагийн уян хатан зохицуулалт, хөнгөлөлттэй зээл, урамшуулалт цалин, төрсөн өдрийн болон Гүйцэтгэх захирлын нэрэмжит цалинтай чөлөө гэх мэт ажилтнуудад чиглэсэн олон төрлийн бодлого хөтөлбөрүүдийг хэрэгжүүлж, ажилтнуудаа халамжилсаар ирсэн бөгөөд Хасчууд маань ч байгууллагын соёл, ажлаараа бахархаж, үр бүтээлтэй, урам зоригтой ажиллаж байна."
Fitch ratings агентлаг ХасБанкны зээлжих зэрэглэлийг сайжрууллаа,https://www.xacbank.mn/article/fitch-ratings-b,2024.09.23,"Fitch ratings агентлаг ХасБанкны зээлжих зэрэглэлийг сайжрууллааFitch Ratings агентлаг Монгол Улсын зээлжих зэрэглэлийг сайжруулахтай зэрэгцээд ХасБанкны зээлжих зэрэглэлийг мөнB+ (тогтвортой)болгож нэг шатлалаар ахиуллаа.ХасБанкны зээлийн багцын чанарын үзүүлэлт тогтмол сайн түвшинд байж, ашигт ажиллагаа тогтвортой нэмэгдэж байгаагаас гадна, Монгол Улсын эдийн засгийн өсөлтийг даган бизнесийн орчин сайжрах хүлээлттэй байгаа зэрэг нь зээлжих зэрэглэлийг сайжруулах гол үндэслэл болжээ. Түүнчлэн ХасБанкны  ашигт ажиллагаа нэмэгдсэнээр өөрийн хөрөнгийн хүрэлцээний үзүүлэлтхарьцангуй өндөр түвшинд тогтвортой байх төлөвтэй байгаа нь зээлжих зэрэглэлийг дээшлүүлэхэд эергээр нөлөөлсөн гэдгийг Фитч агентлаг мэдэгдэлдээ дурджээ.Монгол Улсын болон ХасБанкны зээлжих зэрэглэл сайжирснаар олон улсын зах зээлээс татах урт хугацаат эх үүсвэрийн зардал тодорхой хэмжээгээр буурах боломжтой болж байна.Дэлгэрэнгүй:https://www.fitchratings.com/site/pr/10285560"
Нээлттэй зах зээлээс хувьцаа эргүүлэн худалдан авах тухай,https://www.xacbank.mn/article/share-buyback,2024.09.18,Нээлттэй зах зээлээс хувьцаа эргүүлэн худалдан авах тухай
ТЕНДЕРИЙН УРИЛГА,https://www.xacbank.mn/article/website-tender,2024.09.11,"ТЕНДЕРИЙН УРИЛГАХасБанкны Вебсайтыг шинэчлэн сайжруулж, Банк харилцагч хоорондын харилцааг хөгжүүлэх дижитал орчин бүрдүүлэх, гадаад, дотоодын хөрөнгө оруулагч, хамтрагч байгууллагад Банкны тухай болон бүтээгдэхүүн, үйлчилгээний мэдээллийг ил тод, хялбар хүргэх системийг хөгжүүлэх гүйцэтгэгчийг сонгон шалгаруулах тендерт оролцохыг урьж байна.Тендерт оролцогч байгууллага нь тендерт оролцох хүсэлтээ илэрхийлсэн албан бичгийн хамт тендерийн материалын үнэ төлсөн баримтыгtender@xacbank.mnхаягаар ирүүлж сонгон шалгаруулалтын багц бичиг баримтыг авна.Сонгон шалгаруулалтын 1 багц бичиг баримтыг эргэж төлөгдөхгүй нөхцөлтэйгээр 30,000 төгрөгөөр /ХасБанкны Төв Албаны 100260000011 дансанд салбарт очиж тушаах/ авна.Үнийн саналыг2024 оны 9 дүгээр сарын 25-ны өдрийн 16:00 цагаасөмнө доорх хаягаар цаасан хэлбэрээр ирүүлнэ үү.Хаяг: Өмчийн харилцааны алба, ХасБанкны Төв байр, Ерөнхий Сайд Амарын гудамж, Шуудангийн салбар 20А,Ш/Х-72, Улаанбаатар - 14200"
“ХасБанк” ХК 2024 оны эхний хагас жилийн цэвэр ашгаас 18.9 тэрбум төгрөгийн ногдол ашгийг хувьцаа эзэмшигчдэдээ хуваариллаа,https://www.xacbank.mn/article/dividend-0909,2024.09.09,"“ХасБанк” ХК 2024 оны эхний хагас жилийн цэвэр ашгаас 18.9 тэрбум төгрөгийн ногдол ашгийг хувьцаа эзэмшигчдэдээ хуваариллааХасБанкны хувьцаа эзэмшигчдийн ээлжит бус хурлыг эчнээ санал хураалт хэлбэрээр явуулах тухай ТУЗ-ийн тогтоолын дагуу 2024 оны 7 дугаар сарын 25-ны өдрөөс 2024 оны 9 дүгээр сарын 04-ний өдрийг дуустал хугацаанд санал хураалт үргэлжилж, саналын эрхтэй хувьцаа эзэмшигчдийн 99.99%-ийн саналаар ХасБанкны 2024 оны эхний хагас жилийн цэвэр ашгаас нэгж хувьцаанд 18 төгрөг, нийт 18.9 тэрбум төгрөгийн ногдол ашиг хуваарилахаар шийдвэрлэлээ.Шийдвэрийн дагуу хувьцаа эзэмшигчдийн ногдол ашгийг татвар суутгасны дараах дүнгээр “Үнэт цаасны төвлөрсөн хадгаламжийн төв” дэх дансанд байршууллаа.ХасБанк ХК нь нээлттэй хувьцаат компани болсноос хойш хагас жил тутам тогтвортой ногдол ашиг тараах бодлогыг хэрэгжүүлж байна.Эчнээ санал хураалтаар ногдол ашиг авах эрхтэй хувьцаа эзэмшигчдийг тодорхойлох бүртгэлийн өдрийг 2024 оны 08 дугаар сарын 08-ны өдрөөр тогтоосон бөгөөд хувьцаа эзэмшигч та өөрийн үйлчлүүлдэг брокер, дилерийн компанид хандаж, ногдол ашгийн талаарх мэдээлэл авна уу. Брокер, дилерийн компаниудын мэдээллийгЭНД ДАРЖавна уу.Хөрөнгө оруулагч та бүхэнд баярлалаа.Холбоо барих:Утас: +(976)-8508-1888Цахим шуудангийн хаяг:investor-relations@xacbank.mnАжиллах цагийн хуваарь: ажлын өдрүүдэд 10:00-17:00 цагийн хооронд"
ХасБанк төлбөрийн картын клирингийн систем ажиллуулах зөвшөөрөл авлаа,https://www.xacbank.mn/article/clearing-system,2024.08.26,"ХасБанк төлбөрийн картын клирингийн систем ажиллуулах зөвшөөрөл авлааХасБанк Монголбанкны Үндэсний төлбөрийн системийн тухай хууль болон холбогдох журмуудыг үндэслэн “Төлбөрийн картын клирингийн систем” ажиллуулах зөвшөөрлийг Монголбанкнаас авлаа.Төлбөрийн картын клирингийн системийн зөвшөөрөл авснаар Монгол Улсад төлбөрийн үйлчилгээ эрхлэгч байгууллагууд буюу бусад арилжааны банкууд болон ББСБ-ууд, финтек компаниудын хоорондын картын төлбөр тооцоог дамжуулж, клиринг хийх үйлчилгээг үзүүлэх бүрэн боломжтой боллоо.Ийнхүү зөвшөөрөл авч дундын үйлчилгээг үзүүлснээр бидний хамтын ажиллагаатай арилжааны банкууд болон ББСБ-ууд, финтек компаниуд картын төлбөр тооцооны системийн найдвартай, тасралтгүй ажиллагаа хангахтай холбогдон гардаг их хэмжээний зардлуудаа бууруулах боломж бүрдэж байна."
ХасБанкны виза картаараа төлбөрөө төлөөд 10-30% буцаан олголт аваарай,https://www.xacbank.mn/article/back2school-cashback,2024.08.22,"ХасБанкны виза картаараа төлбөрөө төлөөд 10-30% буцаан олголт аваарайАнги танхим руугаа яаран, найзуудтайгаа уулзахын догдлол, шинэхэн хувцаснуудаа өмсөж цэмбэгэр гэгч нь алхах хүсэл дүүрэн есөн сарын нэгэн айсуй.Шинэхэн хичээлийн жил эхлэхэд эрдэм номоо агуулах цүнх сав, үзэг харандаа, үзүүлэлт сайтай нөүтбүүкээс эхлээд бэлдэх зүйлс бишгүй их. Тэгвэл ХасБанк оюутан, сурагчдынхаа хичээлийн шинэ жилийн бэлтгэлд зориулж виза картдаа 10-30% буцаан олголттой ээлжит урамшууллаа зарлаж байна.ХасБанкны визатай хүн бүр 8-р сарын 22-ноос 9-р сарын 8-ныг дуустал дараах газруудаас виза картаар худалдан авалт хийгээд үнийн дүнгийн 10-30%-ийг буцаан аваарай. Энэхүү урамшуулал нь ХасБанкны бүх виза картад үйлчлэх бөгөөд буцаан олголтын дээд хэмжээ 200,000 төгрөг.Буцаан олголт авах газрууд:www.facebook.com/XacBank/postsХэрэв та ХасБанкны виза картгүй бол яг одоо дижитал банкаарhttp://bit.ly/XacBankзахиалан хүргүүлээд аваарай."
ХасБанкны ажилтнуудын өдрийн ажлын цаг 7 цаг боллоо,https://www.xacbank.mn/article/7-hour-workday-pr,2024.08.22,"ХасБанкны ажилтнуудын өдрийн ажлын цаг 7 цаг боллооБайгууллагын соёлоор тэргүүлэгч ХасБанк хичээлийн шинэ жилийг тохиолдуулан ажилтнуудынхаа ажил амьдралын тэнцвэрт байдлыг хангах, тав тухтай ажиллах боломжийг бүрдүүлэн 9 дүгээр сарын туршид ажлын цагийг өдөрт 7 цаг болгох шийдвэрийг гаргалаа.Цагаа хассан ч цалингаа хасахгүйЗуны амралт, зугаалгын дараах их ачааллын үе болох 9 сард хүн бүрд л тулгардаг замын түгжрэл, хүүхдүүдээ цэцэрлэг, сургуульд хүргэж өгөх, ар гэрийн ажлаа зохицуулах гээд ачаалал нэмэгддэг энэ үед Хасчууддаа ажлын цагийг богиносгон уян хатан цагаар ажиллах боломжтой болгож бэлэг барилаа. Гэхдээ хамгийн гоё нь ажилтнууд 7 цаг ажилласан ч 8 цагийнхаа цалинг бүтнээр нь авах нь энэхүү бэлэгний бас нэгэн онцлог байлаа.Эрх чөлөөтэй бөгөөд бүтээмжтэйХасчууд өөрсдөд тохирсон цагийг сонгож, бусад ажлуудаа төлөвлөн зохицуулах боломжтой болоод чамгүй хугацааг өнгөрүүлээд байгаа ба ажилтнууддаа ажлаа эхлэх цагийн сонголтыг өгснөөр бүтээмж, сэтгэл ханамж нэмэгдээд зогсохгүй байгууллагын соёл, ажлаараа бахархах, тогтвор суурьшилтай ажиллах, ажилтны амьдралын чанарт нөлөөлөх гэх мэт маш олон зүйлүүд үргэлж өсөн нэмэгдэж буйг энд онцлон дурдъя.Зөв банк ХасБанк"
ХасБанк ХК-ийн хувьцаа эзэмшигчдийн ээлжит бус хурлын зарлал,https://www.xacbank.mn/article/egm-announce-240802,2024.08.02,ХасБанк ХК-ийн хувьцаа эзэмшигчдийн ээлжит бус хурлын зарлал
